Feature,value
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Smoke Beer
Color,"Any beer of any style incorporating smoke, and therefore may range from very light to black"
Clarity,Varies with underlying beer style
Perceived Malt Aroma & Flavor,Varies with underlying beer style
Perceived Hop Aroma & Flavor,Varies with underlying beer style
Perceived Bitterness,Varies with underlying beer style
Fermentation Characteristics,"For Smoke Beers based on lager styles, any phenolic notes (if present) should be derived from smoke; in such lagers yeast-derived phenolics should not be present."
Body,Varies with underlying beer style
Additional notes,"Any style of beer can be smoked. The goal is to reach a balance between the style’s character and the smoky properties. Any smoke beer that does not fit other smoke beer categories are appropriately categorized here. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style(s), or other information unique to the entry such as type of wood smoke or processing which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Other Strong Ale or Lager
Color,Varies with underlying style
Clarity,Varies with underlying style
Perceived Malt Aroma & Flavor,Varies with underlying style
Perceived Hop Aroma & Flavor,Varies with underlying style
Perceived Bitterness,Varies with underlying style
Fermentation Characteristics,"Within the framework of these guidelines, beers of any style intentionally brewed to a higher alcohol content than defined within that style’s guidelines are categorized as Other Strong Beer. These beers should achieve a balance between the style’s characteristics and the additional alcohol, and are not wood- or barrel-aged. All Wood- and Barrel-Aged Beers that meet the criteria for elevated alcohol content shown below are categorized as any of several Wood- and Barrel-Aged Beers."
Body,Varies with underlying style
Additional notes,"When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style(s) being made to higher alcoholic strength, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes such as microflora, fruit, spices, or other ingredients, etc."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),6.4%+ (8%+
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Gluten-Free Beer
Color,Varies with underlying style
Clarity,Varies with underlying style
Perceived Malt Aroma & Flavor,Varies with underlying style. Grains and fermentables which differ from those typically used to produce a given beer style can and will produce flavor and aroma outcomes that differ from traditional versions. Such differences are to be expected and are acceptable.
Perceived Hop Aroma & Flavor,Varies with underlying style
Perceived Bitterness,Varies with underlying style
Fermentation Characteristics,"Although brewers may design and identify these beers according to defined style guidelines, these beers should be evaluated on their own merits without strict adherence to defined style parameters."
Body,Varies with underlying style
Additional notes,"This category includes lagers, ales or other beers made from fermentable sugars, grains and converted carbohydrates and must also include some portion of cereal. All ingredients must be free of gluten. Within the framework of these guidelines, beers brewed with barley, wheat, spelt, rye, and other gluten-containing ingredients may not be categorized as Gluten-Free. Gluten-Free Beers may contain malted grains that are gluten-free. NOTE: These guidelines do not supersede any government regulations. Wine, mead, ﬂavored malt beverages or beverages other than ‘beer’ as deﬁned by the TTB (U.S. Trade and Tax Bureau) are not considered ‘gluten-free beer’ under these guidelines. Gluten-reduced beers’ original ingredients would have gluten content that has been reduced by enzymes or other processes to reduced levels. Gluten-reduced beers should be categorized in the classic style category most appropriate for the beer, rather than as Gluten-Free Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include an underlying beer style if appropriate, gluten-free grains or other carbohydrate sources, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes such as microflora, fruit, spices, other ingredients, wood-aging, etc."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
